ChiSqrHorizontalRelativeVolume;ChiSqrVerticalRelativeVolume;RsRelativeVolume;KzhaHorizontalThreshold;KzhaHorizontalBitsVolume;KzhaVerticalThreshold;KzhaVerticalBitsVolume;Noise;Sharpness;Blur;Contrast;EntropyShennon;EntropyRenyi11;PixelsNum;IsDataHided
0;0;0,1937601116681489;0;0;0;0;1,69885181;71;1,3130802617705326;0,29790326492810376;6,929683053820383;6,891545087507878;524288;True
0;0;0,5698060814578488;0;0;0;0;2,5995545420501682;148;0,5956107767924758;0,8820061843981654;6,5050665212009235;6,412386660157804;587520;True
0;0;0,004885785;0;0;0;0;2,529915597783975;50;1,4209617662284162;0,29829255739626526;6,560161214117532;6,502480084865425;524288;False
0,00154321;0,00154321;0,28616192899517284;0;0;0;0;11,792675323756743;123,03657992645925;0,5530000184078996;0,3190414923879541;7,482912494523731;7,468944389626396;660960;True
0,04454023;0,04454023;0,28398090277131766;0;0;0;0;27,109081581250734;207;0,17177854137752813;0,6264090911707572;7,669662923338921;7,647052064215676;709920;False
0,001474926;0,001474926;1,1609757113546733;0;0;0;0;11,524557968995403;202;0,21312745025154414;0,48055298209655317;7,572956709;7,538418461382519;691560;True
0;0;0;0;0;0;0;2,2873683537479463;85;1,1747691104611853;0,2889973469584087;6,836350927644793;6,7872902194888525;2097152;False
0;0;0,7750371694964991;0;0;0;0;2,1194960445691633;39,75;2,074666761637374;0,19790179703985034;7,209237871518155;7,179405342432487;2097152;True
0,15625;0,15625;0,2970128612376384;0;0;0;0;12,30611279318589;188;0,17514377953092597;0,3774513342127332;7,527205100549036;7,484192727611193;16384;False
0,4266666666666667;0,4266666666666667;0;0;0;0;0;11,909125328839977;198;0,332993488;0,43299747515221293;7,443643900734346;7,418186575587219;50625;False
0,002673797;0,002673797;0,8013366457342056;20,23249514427008;11;0;0;13,904025872895554;103;0,38006816837647894;0,2764946489937883;6,680343327277677;6,638320509441356;187000;True
0;0;0,004760311;0;0;0;0;1,8190377721525839;252;0,7863638324058646;0,9633719577440912;6,312031309164032;6,21888026;237025;False
0,1353135313531353;0,1353135313531353;0,006190577;0;0;0;0;17,29211083733607;114;0,3662450215453812;0,46190215128871365;7,898810610144951;7,893776604183628;121200;False
0;0;0,3036500332517184;0;0;0;0;8,175159858980658;128;0,3278985097586343;0,5367019410257814;7,488015885116933;7,465257106407841;246500;True
