ChiSqrHorizontalRelativeVolume;ChiSqrVerticalRelativeVolume;RsRelativeVolume;KzhaHorizontalThreshold;KzhaHorizontalBitsVolume;KzhaVerticalThreshold;KzhaVerticalBitsVolume;PixelsNum;IsDataHided
0,59375;0,59375;0,24563653421402534;0;0;0;0;16384;True
0;0;0,000148331;0;0;0;0;122500;False
0,0078125;0,0078125;0,010226234505617373;0;0;0;0;262144;False
0;0;0,000130247;0;0;0;0;307200;False
0;0;0,00831957;0;0;0;0;307200;False
0;0;0,005180282;0;0;0;0;524288;False
0;0;0,002333944;0;0;0;0;524288;False
0,98989899;0,98989899;0,785798954;0;0;0;0;196020;True
0;0;0,001264109;0;0;0;0;524288;False
0,013774104683195593;0,013774104683195593;0,11472027707747783;80,90853909869136;47;55,99236978231424;829;740520;True
0;0;0,10338641379227416;0;0;0;0;587520;False
0,26991150442477874;0,26991150442477874;0,49028734597233997;0;0;0;0;691560;True
0;0;0,00560858;83,02740374817036;41;76,61733692864476;3440;691560;True
0;0;0,42805408041922216;22,301629418916846;8;0;0;691560;True
0,020648968;0,020648968;0,028995077176576903;0;0;0;0;691560;False
0;0;0,000801995;0;0;0;0;524288;False
0;0;0,001066041;0;0;0;0;697680;False
0;0;0,00084345;0;0;0;0;2097152;False
0;0;0,00049841;0;0;0;0;2097152;False
0,001953125;0,001953125;0,8290832467674091;0;0;0;0;2097152;True
0,21875;0,21875;0,13822841911145603;0;0;0;0;16384;False
1;1;0,8357208635254697;0;0;0;0;50325;True
0,004444444;0,004444444;0,063505733;0;0;0;0;50625;False
0,010362694300518135;0,010362694300518135;0,024637272;0;0;29,82433399199753;8;193000;False
0,002083333;0,002083333;0,7170740611225602;0;0;0;0;307200;True
0,045454545454545456;0,045454545454545456;0,14147914186196256;29,414112568920892;8;26,493667549515134;9;187000;False
0,015625;0,015625;0,3492622451684478;13,260412378726258;0;0;0;262144;True
0,064583333;0,064583333;0,005231052;0;0;0;0;307200;False
0,003472222;0,003472222;0,2678861439581855;0;0;0;0;587520;True
0;0;0,011414236607086676;0;0;0;0;524288;False
0;0;0,001767437;0;0;0;0;524288;False
0;0;0,003572962;0;0;0;0;524288;False
0;0;0,7469174684091172;0;0;0;0;691560;True
0,005649718;0,005649718;0,067650768;0;0;0;0;722160;False
0,001474926;0,001474926;0,4628248100023081;0;0;0;0;691560;True
0,00390625;0,00390625;0,5983079316563419;0;0;0;0;783360;True
0;0;0,012767707010271185;49,82541564336394;63;53,206206260157266;6136;807840;True
0,7200520833333334;0,7200520833333334;0,839665658;0;0;0;0;783360;True
0,003787879;0,003787879;0,4976378729135032;0;0;0;0;807840;True
0;0;0,000557521;0;0;0;0;2097152;False
0,0625;0,0625;0,7174076367913879;0;0;0;0;16384;False
0;0;0,042588665;44,17948793968207;26;63,443940325610406;592;50505;True
0;0;0,060136645;0;0;0;0;50325;False
0,078125;0,078125;0,3690396429271101;0;0;0;0;262144;True
0,077083333;0,077083333;0,001102885;0;0;0;0;307200;False
0,072916667;0,072916667;0,019664691;53,693335051489946;28;53,693335051489946;1664;307200;True
0;0;0,004604587;0;0;0;0;262144;False
0,045833333;0,045833333;0,029711053138301597;0;0;0;0;307200;False
0;0;0,000642682;0;0;0;0;307200;False
0;0;0,002288025;0;0;0;0;524288;False
0,005859375;0,005859375;0,005909956;0;0;0;0;524288;False
0;0;0,001859693;0;0;0;0;524288;False
0;0;0;0;0;0;0;524288;False
0;0;0,085791717;41,90454011;91;41,90454011316789;5816;524288;True
0,001474926;0,001474926;0,40240316520298697;0;0;0;0;691560;True
0;0;0,006836777;0;0;0;0;691560;False
0,014749262536873156;0,014749262536873156;0,30132710715365724;0;0;0;0;691560;True
0;0;0,043088958744176266;0;0;0;0;838440;False
0;0;0,003696433;52,41295093815249;6888;84,36041075091478;27;2097152;True
0;0;0,3275326474882277;0;0;0;0;2097152;True
0,008888889;0,008888889;0,6810549617273961;0;0;0;0;50625;True
0;0;0,31579909084957575;0;0;0;0;307200;True
1;1;0,8788113373761957;0;0;0;0;307200;True
0,5291666666666667;0,5291666666666667;0,14446484456149436;0;0;0;0;307200;True
0;0;0,001946507;0;0;0;0;524288;False
0,6953125;0,6953125;0,1538971598998601;0;0;0;0;524288;True
0;0;0,002081644;0;0;0;0;262144;False
0,005859375;0,005859375;0,6867643989164062;0;0;0;0;524288;True
0,00625;0,00625;0,017071723691936307;0;0;0;0;307200;False
