ChiSqrHorizontalRelativeVolume;RsRelativeVolume;KzhaHorizontalThreshold;KzhaHorizontalBitsVolume;Noise;Sharpness;Blur;Contrast;EntropyShennon;EntropyRenyi11;PixelsNum;IsDataHided
0,15234375;0,6553042021887511;0;0;6,743314706;106;0,4119634071926905;0,4855765510924344;7,463901463;7,427482030780003;5061120;True
0,8684054534676942;0,2343050215512601;0;0;40,928865963330466;176;0,37864972206322667;0,6563661146096976;7,871130443210705;7,864170399060112;5061000;True
0,000325521;0,007048887;84,71336397829147;142;3,7820519902548226;43,17134125646727;0,73502989;0,24385569708019458;7,4538145737215995;7,436121758762445;6291456;True
1;0,8744520283218015;0;0;16,397430327413947;213;0,5597138145761417;0,5990632536337389;7,388888171273452;7,356099711185811;6000000;True
0,003240741;0,5569181798751609;0;0;11,71224255;99;0,9084717089661059;0,6523201126946644;7,868108753985362;7,859029308500092;6998400;True
0;0,19424772120488107;0;0;1,964466056642999;42;2,608253284462449;0,9458354380487265;6,723030310189186;6,617986504;11500000;True
0;0,6251704863044325;0;0;19,136882156926717;200;0,21270417027039346;0,3115470382180552;7,503996279137716;7,462585469855313;10036224;True
0;0,066376546;0;0;21,36809416429975;176;0,2844370207834286;0,4563435792834308;7,423685708329674;7,384110650067265;9830400;True
0;0,001907184;0;0;1,4937070015047453;225;0,7762551753457008;0,5302160984108725;7,710128588704204;7,683809152112331;19009536;False
0;0,002972056;0;0;0,8804958184651646;121,62236636408616;1,8701501939105079;0,3732473955077787;6,091905978584255;5,951158573487264;19961856;False
0,004525777;0;0;0;15,336919815357556;116;0,3470706180622492;0,33063189228416157;7,433288522082543;7,423834615270144;19667340;False
0;0,2728185721841854;0;0;5,360007081371311;238;0,5837589824085518;0,5506767800886433;7,616728756;7,598378835966652;19267584;True
0;0,024951964387940742;0;0;1,4601163364474405;149;0,8057860169578572;0,5126616406195873;5,852892745;5,572237458080414;19631430;False
0;0,019812423614627712;0;0;0,008935323;252;0,592771829;0,8341971995472416;6,521392430154636;6,280087171349314;20000000;False
0;0,0040344;82,55763609944138;253;9,378504464;57,982756057296896;1,5347322734567834;0,393750768;7,554904700238256;7,5432077250831115;14564818;True
0,001302083;0,24005647400886043;0;0;12,30156905670954;113;0,49457073213623876;0,24330932139788145;6,658154263162131;6,631235265040616;22118400;True
0;0,026482592957871132;0;0;0;118;0,7374679976592806;0,2992799057473886;4,044917842951586;3,684633530580012;24006000;False
0;0,000411927;0;0;3,490606442882485;114;2,7532409952057364;0,5540067218924086;7,487734432501297;7,468565590835402;30105600;False
0;0,000304031;0;0;1,1810981752384384;99;2,6252635632790753;0,6976163120820433;6,5523276691805705;6,439372052425977;29232000;False
0,000282048;0,028389637;0;0;4,822508806211817;240;0,4866021659451671;0,5151932118406523;7,467239150172222;7,431670279431549;37546845;False
0,007294833;0,020843255342995113;0;0;8,578698615253495;93;0,9510528646621645;0,2874773849239214;7,4209383159530775;7,3817858870498165;4112500;False
0;0,019271228711595718;0;0;9,472333955278208;174;0,5617824648491215;0,3714697237090789;7,355807560235894;7,303049165547568;4665600;False
0,0004995;0,9128997108041537;0;0;24,544912165154603;240;0,14244712201437065;0,4295985142241003;7,953604578156752;7,950738089486609;6006000;False
0,001736111;0,7320046762629046;0;0;1,7301592755115862;200;1,0068392821461751;0,5309605503607978;6,530015322601372;6,355506706314872;6912000;True
0,028431372549019607;0,064546796;0;0;25,63494488009685;204;0,2235609304808142;0,40506663587774877;7,699992765251238;7,681075057801258;4063680;False
0;0,2120894180477745;0;0;44,43601623962647;252;0,23537800713368895;1,0842319223626429;5,709543034929102;5,48739003;5607000;True
0,001854427;0,099049214;61,31536167196963;91;9,179955582048624;236;0,4760268885748225;0,5301187804458263;7,8242554796451715;7,809635428090435;5521920;True
0,00248139;0,002999306;0;0;7,901536246450705;67,88225099390856;1,0623113032603142;0,3336914165609631;7,144957391573116;7,107768437068647;6216275;False
0,01484375;0,008757959;61,980155908404065;22408;16,695169775277474;204;0,5214737106939247;0,3678197430273887;7,638693729707499;7,624221817057996;6553600;True
0,000513875;0,022932465;42,00866909;26824;1,8742885258185904;128;1,073328266486786;0,4106891549382193;7,646293782761104;7,6260006862139464;5684266;True
0,001141553;0,41232761618177344;0;0;8,587716458742998;68,42368011149357;1,158150269150729;0,37471927652905945;7,737750998854128;7,723258971;8185344;True
0;0,026118398;42,34265196946035;65928;6,7616545070698235;115;0,4047211601995473;0,574132187;7,413892590752868;7,3765532149598005;6291456;True
0,000468823;0,11005588808591481;0;0;7,602381070557345;84,97058314;0,42746197772942146;0,7604569180917625;7,799909636599616;7,787949961937933;7962489;True
0,000306373;0,055642323;0;0;8,192092687091783;93;0,6665356997665213;0,5114862238674949;7,649066331846681;7,627923360800352;7990272;True
0;0,24653813634277402;67,22748397007909;8;8,116358791152322;193;1,4537500526336327;0,48198841185318014;7,812078693118379;7,800573327;8294400;True
0;0,024210894024082788;0;0;0;221;0,7060804361818992;0,617813537;5,338175724416312;4,898252221;10833760;False
0,001322751;0,019157771980266275;80,54061057938637;277;14,793408386641257;247;0,5399572419199941;0,5275137334265677;7,660546209;7,642822690366413;9144576;True
0;0,5538440255745746;0;0;1,0278568560309904;251;0,26672520397232224;0,6024832213934921;7,541184881090588;7,510163142225226;12000000;True
0,000323415;0,056884225;0;0;9,239650665306277;195;0,37474947;0,35566985940599666;7,464678715340683;7,429695039334133;11131200;False
0;0,23112410383922047;0;0;8,964741798651826;252;0,9562575902181335;0,42604198927194487;7,607289282462724;7,594225949055678;24000000;False
0,2980392156862745;0,6921403371813707;0;0;8,962392208921973;207;0,27655911312783027;0,3919310880751112;7,4503841543460085;7,424622613;3329280;True
0;0,004351891;0;0;0,2738649183356568;150;0,5508550665854103;0,66825581;6,995290136833275;6,857852369910364;4718592;False
0;0,038867627;60,63880316733679;40440;3,3480592215950282;135;0,5903739188704569;0,6119329785107873;7,709839936234371;7,703048015705374;4369920;True
0,006127451;0,31764845881408005;82,70172028662176;814;12,113831329283741;247;0,31472440344726654;0,5660047907969068;7,786643899646775;7,7701720807684405;3329280;True
0;0,003640739;0;0;26,639465598012613;231;0,5748651780000769;0,8184061153582212;6,460748524870192;6,145557761704803;5064000;False
0;0,2348306987841647;0;0;5,884218564483897;214;0,1806184410806332;0,9350221097254814;7,0340283927719875;6,922131889516743;3525120;False
0,07745098;0,4432277025972644;0;0;8,252293251895946;192;0,41244911282933655;0,4908463131860686;7,474695537125956;7,430679830815032;4161600;True
0,500625;0,18335167582604184;0;0;20,764198859847024;242;0,3036162114059619;0,42441198221460025;7,702744215867375;7,685807528476773;3840000;True
0;0,11107991751924902;60,74098818;77;4,609713782158453;196;0,6661952438417396;0,6309888810092158;7,1501087758234165;7,0745038182157804;3954960;True
0;0,5113841168688891;0;0;35,35909991921348;223;0,15879534592215694;0,5416109089857981;7,735676268121761;7,691588647;3231360;False
0,002416432;0;0;0;12,055357565991487;45,961940777125584;0,6841599582243124;0,3385580889380423;7,544952673835777;7,528425648656957;7627776;False
0,002204586;0,6362180480187474;0;0;14,279644273925033;163;0,21811047229547664;0,5459587208223591;7,835955056612645;7,822886427874029;9144576;True
0;0,000676208;0;0;0;37;4,104383415348329;0,4906774473483644;3,5404576128344445;3,118112393337823;14851067;False
0,16473765432098766;0,1880272199049553;0;0;2,0391232989626866;87;1,0741942786285643;0,5336819999311139;7,443039207339787;7,391784231021958;10036224;True
0;0;0;0;1,2084826268622886;130;0,890654771;0,7309626612854442;6,919556402306461;6,876122846986873;14301925;False
0;0,16592954266555268;0;0;21,20862070218683;50,5;1,307797081710933;0,2788520494921856;7,370952267381299;7,343315835907236;15054336;True
0;0,013470042936089175;0;0;4,207190624;183;0,3652496923771843;0,5866446639292827;7,875014378747986;7,867681109068097;19865880;False
0,000272702;0,052465813;0;0;16,45543569314928;159;0,3569745906911355;0,7038718734143466;7,518245116480441;7,469024672122749;20168500;False
0;0,071084017;42,35760383634434;62481;14,430108239857336;202;0,38944418808485853;0,46798440916966316;7,765334587796661;7,751961668707913;19907328;True
0;0,12083052388271442;0;0;5,241528816034907;252;0,37305416139647857;0,6787123475971475;7,594077026149217;7,565965216145051;23789568;True
0;0,5944092248547154;0;0;13,605860547639969;227;0,3141281352873613;0,6070264443968744;7,475214181326238;7,434157993842758;2457600;False
0,003571429;0,006557732;0;0;6,469355419544899;242;0,6085225445101322;0,38857303520856906;7,226052914080737;7,176010071985808;2940000;False
0,000490196;0,13103056665543653;56,74768209241063;129;13,374845533396558;174;0,2640269088833265;0,38390276047734784;7,628662060716582;7,601932360396319;3304800;True
0,001302083;0,39815704069696745;0;0;28,602144530543455;225;0,22937303284067814;0,5997243678366238;7,829305848161655;7,812384079855252;3133440;True
0,098820059;0,12358538428551191;0;0;39,646612905379996;170;0,1507636119407802;0,33244523991987857;7,76987439;7,753840927665106;2766240;False
0;0,040523184;0;0;5,8389203858973895;243;0,5735366991101007;1,0206416000250622;7,516684733444246;7,472972641;3725664;False
0,091269841;0,7847435666888298;0;0;6,933364739;185;0,6948654863520128;0,37061468144645704;6,815358620355222;6,763617250320394;3810240;True
0,001677852;0,086446355;76,75324457451383;231;15,506032730874745;180;0,31144921156173744;0,5601248834066843;7,722534406336265;7,708081299288022;3647520;True
0,001302083;0,080800458;0;0;33,15193821846693;201;0,20249375494791222;0,4048607130990855;7,814369819712695;7,800439796;3133440;False
0,8059895833333334;0,207850703;0;0;17,51228638522678;244;0,2112548718983435;0,309486706;7,116159416460117;7,037645616750936;3133440;True
0;0,1105630867321833;60,229022095666785;177;3,973755881;197;0,44651316159672444;0,4635337886148134;7,2224319946925934;7,186781860049167;3769920;True
0,019570707070707072;0,1689348597362884;0;0;25,381033903146623;182;0,23068857043178545;0,4108982614903826;7,680222646705692;7,658403431502465;3231360;True
0,00683527;0,19029285512238517;0;0;6,221758194147268;142,12846301849603;0,7098962756935064;0,6216804619707565;7,638602644327123;7,630230644194015;3745280;True
0,000625;0,010570632226741691;0;0;10,067755370558277;167;0,46596318661676445;0,45730796749715363;7,692747791341717;7,674661712896498;4096000;False
0,001136364;0,041033614;0;0;12,64074943983928;152;0,41391726617810376;0,3562019595325229;7,552811515;7,54020055;4104320;False
0,011764705882352941;0,42159606401468214;0;0;27,70405398846704;243;0,22314161330007168;0,5905891996912855;7,797211092;7,7817605956816145;3965760;True
0,19509803921568628;0,23419581608738194;0;0;5,46920078;163;0,5695233567279564;0,7360227033398359;7,383936839661004;7,346949047191464;4161600;True
0,011274509803921568;0,007640929;0;0;8,385511303888348;185;0,42317781154722944;0,5234503509802905;7,205059852472885;7,151633441629717;4161600;False
0;0,016931173826005497;47,154761706528944;150;18,686695182241323;189;0,6202708386805954;0,8087174463062118;7,618200185189338;7,588910857;5760000;True
0;0,16274110728274135;0;0;7,248217102996096;196;0,33181972513815833;0,5994316350185623;7,671913798890942;7,648202078576998;10942728;False
0,02359882;0,8253914253199591;0;0;24,77014347038712;221;0,19691782711484504;0,3321713891757605;7,463056743902107;7,424431622985272;2766240;True
0,6349557522123894;0,12475267383213447;0;0;25,164488909729695;175;0,23329856648601613;0,35235660993512224;7,421060446489053;7,373261673041367;2766240;True
0;0,15764980097014064;0;0;28,364490414749422;220;0,19088802014717163;0,4432737369955849;7,589162812190752;7,551955931638423;2766240;False
0,46238938053097345;0,8502029407099766;0;0;30,253384945911115;204;0,18048444712967052;0,34953946374408823;7,657151208501632;7,630389838146656;2766240;True
0,031710914;0;0;0;32,69648371043736;201;0,1965630737948314;0,3320723742957027;7,732436872302563;7,713180029032027;2766240;True
0;0,028352388964042945;0;0;13,24013082088263;206;0,21835622967463994;0,3743389275349049;7,539039099840035;7,501189344079066;2766240;False
1;0,8515168922233523;0;0;28,457428838880862;186;0,31189663046970645;0,34462341099686333;7,4140762777646945;7,395803572949176;2888640;True
0;0,5274873609358154;0;0;1,4508310418743626;216;0,32761629528499353;0,6943981468427783;7,567729106575804;7,538071977421871;3378240;True
0;0,032703108;0;0;7,606132563347204;232;0,43885142210499417;0,5037892391026617;7,4748761575935445;7,4315529973394145;4096000;False
0;0,35953099905352986;0;0;19,92076881899719;204;0,3908592359033569;0,537174103;7,591557748388413;7,566668460965835;3377152;True
0,017699115044247787;0,022252645;0;0;21,063297559979087;179;0,2519592320519417;0,3491391669485533;7,4732290428056185;7,4591517130917095;2766240;False
0,025073746312684365;0,7670516324311031;0;0;24,73474835396889;232;0,19782932972462586;0,3667552762627769;7,705702835890001;7,681346043096332;2766240;True
0,000490196;0,046855009057192476;0;0;14,126982222888666;151;0,5507169470199285;0,5094216532940429;7,659813592355856;7,637237265894593;4161600;False
